Iteration,ID,Fitness,Error
0,0,21966.27957936551,2.300222292572943
0,1,22714.92895795734,2.4126996631546485
0,2,22912.640386237446,2.4424039041823087
0,3,22979.320426290516,2.4524219390460513
0,4,23369.574259084166,2.511053824982597
0,5,23662.869679840784,2.5551186418030025
0,6,23699.02891762284,2.5605512195947777
0,7,23744.290140403173,2.5673512831134575
0,8,24242.846759361273,2.6422546212982683
0,9,24637.963990490483,2.7016171860712865
0,10,24711.92413783103,2.7127289870539406
0,11,24746.848837348367,2.7179760873420022
0,12,24867.903643452773,2.736163407970669
0,13,24912.50499056578,2.7428643315152916
0,14,24939.57042926227,2.746930653434836
0,15,25040.447587242757,2.7620864764487316
0,16,25131.40274317541,2.7757516140588057
0,17,25190.488526699537,2.7846286849007718
0,18,25255.223444632637,2.794354483869086
0,19,25258.02377052705,2.7947752059085107
0,20,25263.448944309363,2.7955902861041713
0,21,25277.87782119508,2.7977580861170495
0,22,25280.817535343747,2.7981997499014044
0,23,25297.925340603095,2.8007700331434937
0,24,25365.89308706176,2.8109815335128845
0,25,25395.470101683535,2.815425195565435
0,26,25452.718266586406,2.8240261818789674
0,27,25467.49294912459,2.826245935866074
0,28,25481.570960525347,2.8283610217135435
0,29,25531.44557516958,2.8358542030002374
0,30,25538.42345610999,2.836902562516525
0,31,25665.380676645855,2.8559766641595337
0,32,25714.497669918266,2.863356020119932
0,33,25767.5398521884,2.871325097985036
0,34,25781.808300754823,2.8734687951855205
0,35,25820.300554676633,2.879251886219446
0,36,25882.440389001767,2.8885877988283903
0,37,25925.748577358525,2.8950944377041052
0,38,25931.87781066449,2.896015296073391
0,39,25942.655184026797,2.8976344927924873
0,40,26030.465226568576,2.9108271073570577
0,41,26098.96568541934,2.921118642641127
0,42,26159.708053290047,2.930244599352471
0,43,26226.74877715197,2.94031682349038
0,44,26317.22758886154,2.953910394961169
0,45,26348.711033689917,2.9586404798212014
0,46,26474.763345919993,2.977578627692307
0,47,26495.354625038744,2.9806722693868304
0,48,26617.85538545409,2.9990768307473092
0,49,26653.685227960395,3.0044599200661652
0,50,26678.381850639173,3.0081703501561257
0,51,26679.005243941545,3.0082640090056407
0,52,26710.31171151216,3.012967504734399
0,53,26771.233565465544,3.022120427503838
0,54,26783.132436241456,3.0239081184256995
0,55,26856.71869978352,3.034963746962668
0,56,26889.93647502821,3.0399543982914983
0,57,26898.913947534533,3.041303177213722
0,58,27015.791696015636,3.058862935098503
0,59,27035.447816838336,3.061816078250952
0,60,27127.32433270459,3.0756196413318193
0,61,27220.169003878273,3.0895686604384425
0,62,27411.635870445825,3.118334716112654
0,63,27433.03781452207,3.121550152422186
0,64,27440.298592683943,3.1226410145258328
0,65,27592.015506891148,3.1454350220689826
0,66,27666.343674993106,3.1566021146323777
0,67,27805.600657304694,3.1775241372152485
0,68,27857.99243996493,3.185395498792808
0,69,28047.800656230796,3.213912358207752
0,70,28058.59804254258,3.2155345616800752
